iter	Passed	Remaining
0	1	118
1	2	98
2	2	90
3	3	83
4	4	80
5	5	78
6	5	77
7	6	75
8	7	74
9	8	73
10	8	72
11	9	72
12	10	70
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
